record_id,reference_id,amount,currency,transaction_date,counterparty,description
BNK-5001,INV-2026-001,1500.00,USD,2026-08-01,ACME CORP INC,BANK TRSF ACME CORP INC INV-2026-001
BNK-5002,LOG 884 102,2450.25,USD,2026-08-05,GLOBAL LOGISTICS,BANK TRSF GLOBAL LOGISTICS LOG-884-102
BNK-5003,CS-991-103,3200.00,USD,2026-08-05,CLOUDSCALE SYS PROV,DIRECT DEBIT CLOUDSCALE CS-991-103
BNK-5004,APX-330-104,850.50,USD,2026-08-08,APEX SUP & MAT,ACH PAYOUT APEX SUP & MAT
BNK-5005,STR-772-105,9200.00,USD,2026-08-10,STRIPE TRANSFER,STRIPE PAYOUT STR-772-105
BNK-5006,VNG-112-106,4500.00,USD,2026-08-13,VANGUARD MKTG AGENCY,WIRE TRSF VANGUARD MKTG
BNK-5007,HT-554-107,620.00,USD,2026-08-15,HORIZON TEL & COMM,DIRECT DEBIT HORIZON TEL
BNK-5008,NEX-401-108,1800.00,USD,2026-08-19,NEXUS TECH SOL,ACH TRANSFER NEXUS TECH
BNK-5009,PIN-009-109,5000.00,USD,2026-08-20,PINNACLE LEGAL LAW,WIRE PAYMENT PINNACLE LEGAL
BNK-5010,SRE-771-110,12500.00,USD,2026-08-22,SUMMIT REALTY LEASE,DIRECT DEBIT SUMMIT REALTY
BNK-5011,CS-SPLIT-801-PART1,1500.00,USD,2026-08-24,CLOUDSCALE SYS,PARTIAL PAYOUT 1 CS-SPLIT-801
BNK-5012,CS-SPLIT-801-PART2,2000.00,USD,2026-08-25,CLOUDSCALE SYS,PARTIAL PAYOUT 2 CS-SPLIT-801
BNK-5013,BNK-ORPHAN-701,2750.00,USD,2026-08-28,UNIDENTIFIED BANK CHARGE,DIRECT BANK DEBIT BNK-ORPHAN-701
